symbol,ts,open,high,low,close,volume,timeframe
AAPL,2026-04-08 15:14:00,258.4,258.43,258.27,258.36,41678.0,1m
AAPL,2026-04-08 15:15:00,258.37,258.41,258.23,258.4,63236.0,1m
AAPL,2026-04-08 15:16:00,258.39,258.4,258.21,258.29,40093.0,1m
AAPL,2026-04-08 15:17:00,258.31,258.47,258.29,258.4,25551.0,1m
AAPL,2026-04-08 15:18:00,258.41,258.44,258.26,258.28,32897.0,1m
AAPL,2026-04-08 15:19:00,258.27,258.3,258.06,258.29,62926.0,1m
AAPL,2026-04-08 15:20:00,258.29,258.29,258.13,258.23,30926.0,1m
AAPL,2026-04-08 15:21:00,258.24,258.24,258.1,258.23,48401.0,1m
AAPL,2026-04-08 15:22:00,258.23,258.23,257.85,257.98,63637.0,1m
AAPL,2026-04-08 15:23:00,258.0,258.08,257.82,257.98,28499.0,1m
AAPL,2026-04-08 15:24:00,258.0,258.08,257.83,257.91,61961.0,1m
AAPL,2026-04-08 15:25:00,257.89,257.92,257.64,257.66,39371.0,1m
AAPL,2026-04-08 15:26:00,257.66,257.94,257.58,257.91,46040.0,1m
AAPL,2026-04-08 15:27:00,257.92,257.97,257.8,257.88,55924.0,1m
AAPL,2026-04-08 15:28:00,257.85,257.91,257.72,257.75,42488.0,1m
AAPL,2026-04-08 15:29:00,257.76,257.76,257.51,257.51,32262.0,1m
AAPL,2026-04-08 15:30:00,257.52,257.54,257.36,257.44,98544.0,1m
AAPL,2026-04-08 15:31:00,257.46,257.59,257.37,257.56,40629.0,1m
AAPL,2026-04-08 15:32:00,257.54,257.71,257.48,257.67,57195.0,1m
AAPL,2026-04-08 15:33:00,257.67,257.78,257.59,257.77,24144.0,1m
AAPL,2026-04-08 15:34:00,257.76,258.05,257.76,258.0,89244.0,1m
AAPL,2026-04-08 15:35:00,258.0,258.05,257.84,257.87,50124.0,1m
AAPL,2026-04-08 15:36:00,257.79,258.04,257.79,257.91,25553.0,1m
AAPL,2026-04-08 15:37:00,257.9,257.92,257.74,257.88,35210.0,1m
AAPL,2026-04-08 15:38:00,257.88,257.92,257.83,257.9,16749.0,1m
AAPL,2026-04-08 15:39:00,257.92,257.99,257.88,257.93,15705.0,1m
AAPL,2026-04-08 15:40:00,257.92,257.94,257.75,257.84,41050.0,1m
AAPL,2026-04-08 15:41:00,257.84,257.99,257.79,257.99,16904.0,1m
AAPL,2026-04-08 15:42:00,257.97,258.03,257.9,258.02,32278.0,1m
AAPL,2026-04-08 15:43:00,258.02,258.21,257.95,258.11,75995.0,1m
AAPL,2026-04-08 15:44:00,258.11,258.11,257.95,258.08,27281.0,1m
AAPL,2026-04-08 15:45:00,258.1,258.28,258.1,258.24,29096.0,1m
AAPL,2026-04-08 15:46:00,258.23,258.39,258.2,258.36,32005.0,1m
AAPL,2026-04-08 15:47:00,258.35,258.4,258.29,258.31,26358.0,1m
AAPL,2026-04-08 15:48:00,258.3,258.31,258.0,258.06,31343.0,1m
AAPL,2026-04-08 15:49:00,258.08,258.1,257.98,257.99,24769.0,1m
AAPL,2026-04-08 15:50:00,257.98,258.07,257.98,258.0,36880.0,1m
